LFO,YEAR,PAYQTR1,EMP,ESTAB,PAYANN,EMPSZES,state
920,2019,205972,16411,25,790275,254,36
920,2019,241333,26554,12,963878,260,36
930,2019,24260088,1149708,62932,88987501,001,36
930,2019,633776,54674,32941,3378353,210,36
930,2019,883750,70989,10629,3656853,220,36
930,2019,1452007,114487,8417,5825069,230,36
930,2019,2923639,207547,6746,11426734,241,36
930,2019,3221217,158942,2342,11184315,242,36
930,2019,4843187,198003,1297,17688541,251,36
930,2019,3760640,127377,381,12698165,252,36
930,2019,2576520,79086,117,8240045,254,36
930,2019,3965352,138603,62,14889426,260,36
932,2019,21947583,1654964,40652,90870314,001,36
932,2019,317890,31383,16284,1466951,210,36
932,2019,503871,52050,7761,2095376,220,36
932,2019,887696,93949,6912,3644010,230,36
932,2019,1699673,167349,5488,6991827,241,36
932,2019,1526333,141062,2037,6232753,242,36
932,2019,2235839,198643,1303,9152346,251,36
932,2019,1719687,148317,434,6900957,252,36
932,2019,1769432,149881,216,7274092,254,36
932,2019,11287162,672330,217,47112002,260,36
933,2019,1785564,83009,107,7096166,001,36
933,2019,415,46,18,1779,210,36
933,2019,1203,148,24,4818,220,36
933,2019,650,54,5,2539,230,36
933,2019,18899,1260,7,79479,251,36
933,2019,65414,3038,7,241372,252,36
933,2019,212981,11429,16,718507,254,36
933,2019,1485746,67008,29,6046676,260,36
942,2019,667178,46719,3945,2578152,001,36
942,2019,40289,3937,2167,172584,210,36
942,2019,80663,5961,832,323993,220,36
942,2019,116687,8251,620,465608,230,36
942,2019,89558,6658,228,336534,241,36
942,2019,87289,3820,56,264047,242,36
942,2019,45586,3553,25,182866,251,36
942,2019,58115,3295,9,221987,252,36
942,2019,25708,1898,3,104053,254,36
942,2019,123283,9346,5,506480,260,36
001,2019,50434774,3932620,238015,194776029,001,37
001,2019,2126914,209790,126120,10274396,210,37
001,2019,2786820,295717,44415,11593063,220,37
001,2019,4079238,412280,30405,16576766,230,37
001,2019,6720576,701633,23245,27361779,241,37
001,2019,5948764,563035,8133,23282116,242,37
001,2019,7839419,610253,4049,30429955,251,37
001,2019,5260499,347439,1031,19470733,252,37
001,2019,4816872,267832,387,17715178,254,37
001,2019,10855672,524641,230,38072043,260,37
