YEAR,state,county,PAYQTR1,EMP,ESTAB,PAYANN
2009,13,139,536119,59965,4007,2152488
2009,13,141,4029,703,69,15227
2009,13,143,39948,5375,456,169940
2009,13,145,18790,3324,407,81466
2009,13,147,30378,4646,404,127974
2009,13,149,8895,1147,122,40612
2009,13,151,298784,40160,3347,1206981
2009,13,153,228838,33434,2304,973632
2009,13,155,9757,1568,130,41662
2009,13,157,112629,14955,1166,461055
2009,13,159,9117,1611,172,37138
2009,13,161,21116,3444,261,87324
2009,13,163,29518,4031,330,122710
2009,13,165,6307,992,118,25420
2009,13,167,6584,1187,121,28399
2009,13,169,17354,2567,327,71910
2009,13,171,16659,2633,245,63191
2009,13,173,4672,885,111,20726
2009,13,175,113280,15326,1064,460407
2009,13,177,22004,3568,385,89077
2009,13,179,102300,13049,829,415669
2009,13,181,5580,976,155,23746
2009,13,183,2018,385,69,7968
2009,13,185,245435,38938,2734,1034833
2009,13,187,30528,4426,493,123536
2009,13,189,40429,6388,459,176533
2009,13,191,8079,1435,214,30767
2009,13,193,15687,2086,194,64751
2009,13,195,12859,2195,378,53355
2009,13,197,7662,1260,86,31550
2009,13,199,24920,3278,318,107913
2009,13,201,7426,1136,129,30109
2009,13,205,38370,6564,386,156290
2009,13,207,44253,5490,505,178564
2009,13,209,7391,1201,125,29029
2009,13,211,36670,5291,463,147872
2009,13,213,55202,8335,423,238369
2009,13,215,688666,78925,4409,2758803
2009,13,217,143854,17082,1386,583778
2009,13,219,57290,7815,956,240884
2009,13,221,6387,1075,180,26615
2009,13,223,91651,14094,1600,372697
2009,13,225,41052,6257,494,185768
2009,13,227,40089,5863,666,163810
2009,13,229,18431,3073,340,76884
2009,13,231,10413,1648,243,41451
2009,13,233,64786,9756,634,271234
2009,13,235,13607,1918,194,55996
2009,13,237,38338,5119,437,145940
2009,13,239,1438,223,34,6201
2009,13,241,27084,4237,490,114766
2009,13,243,8038,1284,143,34014
2009,13,245,702588,81854,4364,2879588
2009,13,247,251618,28387,2079,1003642
2009,13,249,7668,1033,65,31011
2009,13,251,15005,2681,243,63058
2009,13,253,9823,1554,184,41289
2009,13,255,117770,16997,1186,476971
2009,13,257,60950,8323,577,248431
2009,13,259,4874,795,72,20460
2009,13,261,54661,9008,691,226858
2009,13,263,4155,547,62,17449
2009,13,265,274,0,22,1300
2009,13,267,16379,2698,307,74474
2009,13,269,7617,1097,126,32139
2009,13,271,21632,3868,216,79125
2009,13,273,9088,1601,179,38778
2009,13,275,139461,15857,1089,518484
2009,13,277,111029,15955,1088,474117
2009,13,279,59714,9358,716,249873
2009,13,281,16732,2859,335,70941
2009,13,283,3172,754,92,13367
2009,13,285,225508,25649,1439,920549
2009,13,287,8232,1491,165,33518
2009,13,289,8296,750,71,33372
2009,13,291,34950,4855,578,148750
2009,13,293,41625,6216,464,177044
2009,13,295,62592,10203,745,272707
2009,13,297,112446,15458,1531,462092
2009,13,299,77245,12012,931,329178
2009,13,301,4443,645,72,18349
2009,13,303,46399,5547,366,187639
2009,13,305,41771,5550,571,174759
2009,13,307,0,0,25,0
2009,13,309,6825,1025,76,29456
2009,13,311,31537,4781,608,120058
2009,13,313,396640,48195,2334,1664078
2009,13,315,3098,584,92,13388
2009,13,317,17287,2681,239,73179
2009,13,319,19475,2053,159,81105
2009,13,321,14721,2415,303,62282
2009,13,999,730558,78187,223,2929794
2009,15,1,406420,51238,4197,1612866
2009,15,3,3220810,338594,21748,12917421
2009,15,7,184545,23802,1919,758863
2009,15,9,491512,59606,4450,1971447
2009,15,999,0,0,58,0
2009,16,1,1565766,166239,12394,6412844
2009,16,3,2357,480,143,11367
2009,16,5,172532,26890,2040,707884
2009,16,7,5470,1003,130,22908
2009,16,9,15322,2190,246,70392
2009,16,11,72721,9940,851,306858
2009,16,13,91113,10949,1416,377776
2009,16,15,1850,499,153,9856
2009,16,17,80144,11877,1510,353196
2009,16,19,377282,42413,3244,1583354
2009,16,21,14268,2359,400,62128
2009,16,23,3479,449,70,20919
2009,16,25,884,189,33,3213
2009,16,27,286982,42564,3636,1188777
2009,16,29,30032,2683,192,130636
2009,16,31,43747,6787,641,179377
2009,16,33,1564,269,16,5004
2009,16,35,12551,1824,257,55620
2009,16,37,7445,931,156,33922
2009,16,39,22775,3983,449,98529
2009,16,41,11351,1997,299,47802
2009,16,43,8001,1404,304,37500
2009,16,45,11226,2110,364,48360
2009,16,47,18736,2646,344,75504
2009,16,49,19328,3020,490,84363
2009,16,51,20209,3675,457,90102
2009,16,53,38901,5768,536,171530
2009,16,55,318260,44289,4510,1379840
2009,16,57,47477,8644,907,205890
2009,16,59,8272,1635,314,37304
2009,16,61,4070,748,132,18460
2009,16,63,4345,650,92,18475
2009,16,65,71835,14136,780,302357
2009,16,67,29860,4119,411,126308
2009,16,69,130674,16490,1166,529409
2009,16,71,3203,614,81,14015
2009,16,73,7183,1531,177,36911
2009,16,75,27887,4280,491,117815
2009,16,77,15814,2184,162,68003
2009,16,79,28532,3846,389,127351
2009,16,81,14856,2048,446,63725
2009,16,83,169701,27170,2563,717230
2009,16,85,16501,2792,585,72472
2009,16,87,9462,1736,234,39457
2009,16,999,57222,8176,89,263651
2009,17,1,234350,29460,1855,976969
2009,17,3,9665,1241,118,39340
2009,17,5,24793,3899,323,106679
2009,17,7,104870,10900,841,366576
2009,17,9,0,0,124,0
2009,17,11,82704,10100,776,357701
2009,17,13,3015,593,95,13201
2009,17,15,25246,3451,421,102034
2009,17,17,31653,4664,258,131411
2009,17,19,548607,68678,4176,2280345
2009,17,21,62775,8490,765,267534
2009,17,23,21602,3281,332,95137
2009,17,25,32226,4482,349,137322
2009,17,27,55160,8779,866,241820
2009,17,29,126868,18111,1238,540269
2009,17,31,30175097,2245334,127868,116535088
2009,17,33,60112,6352,430,234497
2009,17,35,9028,1529,192,37237
2009,17,37,191120,25810,2014,794315
2009,17,39,52305,4556,381,196081
2009,17,41,45701,6227,634,189996
2009,17,43,7375254,574472,33330,28360358
2009,17,45,41524,5635,380,176441
2009,17,47,0,2153,163,72945
2009,17,49,123986,18116,1175,530601
2009,17,51,26508,4958,488,115055
2009,17,53,32198,4236,389,135818
2009,17,55,40163,6761,792,170121
2009,17,57,46245,7084,709,191951
2009,17,59,5040,686,107,21068
2009,17,61,10921,1777,274,44374
2009,17,63,177290,15037,1090,711235
2009,17,65,6989,1356,193,31390
2009,17,67,18122,2847,426,81775
2009,17,69,5199,760,72,22337
2009,17,71,3429,620,117,15280
2009,17,73,89455,12861,1125,387988
2009,17,75,40261,6496,706,185410
2009,17,77,106612,16961,1335,466909
2009,17,79,16283,1758,217,63035
2009,17,81,131041,16552,1006,540566
2009,17,83,27009,4909,460,117099
2009,17,85,45215,7114,745,203356
2009,17,87,6287,1559,182,25057
2009,17,89,1591894,174964,12262,6624674
2009,17,91,276509,35858,2424,1129791
2009,17,93,145142,20118,1920,602846
2009,17,95,105161,16009,1143,427307
2009,17,97,4708124,319399,19505,18953282
2009,17,99,305071,36076,2849,1238564
2009,17,101,24122,3349,302,105825
2009,17,103,71596,9653,753,305737
2009,17,105,94239,12321,917,389207
2009,17,107,51651,7573,651,218693
2009,17,109,57130,9341,729,245342
2009,17,111,753524,85520,7810,3165896
2009,17,113,905589,78693,3691,3469480
2009,17,115,400853,46139,2548,1695503
2009,17,117,62465,9046,939,259958
2009,17,119,749560,83793,5988,3007523
2009,17,121,75731,10527,973,324067
2009,17,123,18995,2878,275,78585
2009,17,125,16597,2473,312,71333
2009,17,127,41899,4092,242,163811
2009,17,129,8402,1390,229,37133
2009,17,131,15160,2303,292,62543
2009,17,133,59202,7516,772,250520
2009,17,135,57818,7764,751,243015
2009,17,137,96220,13026,890,395644
2009,17,139,30884,4386,316,128288
2009,17,141,123973,13068,1103,499025
2009,17,143,1571374,108226,4733,5282007
2009,17,145,31262,4409,416,128675
2009,17,147,16912,2594,348,77371
2009,17,149,19576,3172,384,84659
2009,17,151,1130,327,62,5073
2009,17,153,6519,965,99,30208
2009,17,155,13130,1297,135,48567
2009,17,157,72632,10439,681,312970
2009,17,159,38370,5403,472,161991
2009,17,161,622259,63600,3353,2731637
2009,17,163,624842,79282,5486,2634477
2009,17,165,64397,7920,602,270258
2009,17,167,712641,82240,5140,2929450
2009,17,169,6968,1217,154,34818
2009,17,171,4436,597,77,18860
2009,17,173,30325,4358,457,125737
2009,17,175,6772,983,126,28924
2009,17,177,123644,14488,1107,497553
2009,17,179,368743,44395,2836,1468486
2009,17,181,20884,3527,359,90446
2009,17,183,207621,24945,1537,852180
2009,17,185,19581,2822,275,84295
2009,17,187,36950,5595,366,148584
2009,17,189,39328,5482,396,168545
2009,17,191,22173,3336,351,97969
2009,17,193,26327,3418,372,106620
2009,17,195,141571,18062,1287,573614
2009,17,197,1677498,184968,13800,6961869
2009,17,199,163967,22148,1621,699361
2009,17,201,1097091,120990,6769,4325770
2009,17,203,62982,8129,786,269391
2009,17,999,548367,81242,267,2243575
2009,18,1,82752,11848,728,334749
2009,18,3,1451572,162419,9224,5842736
2009,18,5,439725,40133,1893,1561075
2009,18,7,9956,1534,205,43308
2009,18,9,19316,2807,260,80519
2009,18,11,121161,16775,1373,526901
2009,18,13,10512,2171,390,50569
2009,18,15,29274,4424,397,122362
2009,18,17,88771,13008,762,368404
2009,18,19,334829,42629,2409,1354308
2009,18,21,28106,4794,487,120583
2009,18,23,60666,8465,624,261811
2009,18,25,7003,1255,140,31564
2009,18,27,66151,9995,799,278737
2009,18,29,102864,13609,978,419339
2009,18,31,77668,9721,656,318197
2009,18,33,143978,16369,1013,613065
2009,18,35,265253,38335,2450,1106600
2009,18,37,205931,25123,1306,855089
2009,18,39,750464,92665,4972,3186591
2009,18,41,36350,5363,459,150162
2009,18,43,190418,24167,1753,801776
2009,18,45,31541,4558,326,124559
2009,18,47,27922,4406,450,124238
2009,18,49,40591,5456,472,168812
2009,18,51,148358,15298,722,629367
2009,18,53,193860,25832,1430,812673
2009,18,55,39927,6267,605,167227
2009,18,57,1018758,100070,7347,4097128
2009,18,59,153651,17136,1407,591280
2009,18,61,63048,9425,668,265131
2009,18,63,328517,45323,2864,1357511
2009,18,65,75801,11344,861,310114
2009,18,67,353488,30438,1837,1422906
2009,18,69,89700,12753,890,364804
2009,18,71,142801,17372,1044,561190
